                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1301,                0.83004,                 1.2416,                0.70213,                0.60991,                0.67387,                0.36742,                 1.7838,                 1.4721,                  1.728,             0.00061417,             0.00061417,             0.00061417
                     35,                  1.142,                 0.8464,                 1.2386,                0.71579,                0.63464,                0.70303,                0.39086,                 1.7282,                 1.2961,                 1.6797,             0.00061252,             0.00061252,             0.00061252
                     36,                 1.1242,                0.81483,                 1.2242,                0.66537,                0.64197,                0.66547,                0.35246,                 1.7956,                 1.3207,                  1.751,             0.00061087,             0.00061087,             0.00061087
                     37,                 1.1109,                0.79885,                 1.2253,                0.70446,                0.60845,                 0.6811,                0.36888,                 1.7677,                 1.3436,                 1.7278,             0.00060922,             0.00060922,             0.00060922
                     38,                 1.1285,                0.84064,                 1.2356,                0.65974,                0.68357,                0.65931,                0.36444,                 1.7586,                 1.2855,                 1.7364,             0.00060757,             0.00060757,             0.00060757
                     39,                 1.1193,                0.81236,                 1.2192,                0.61375,                0.66021,                0.64019,                0.34876,                 1.7481,                 1.3488,                 1.7293,             0.00060592,             0.00060592,             0.00060592
                     40,                 1.1058,                0.82595,                 1.2172,                0.64758,                0.63375,                0.65695,                 0.3519,                 1.7895,                 1.3008,                 1.7366,             0.00060427,             0.00060427,             0.00060427
                     41,                 1.1118,                0.81536,                 1.2207,                0.64907,                0.63697,                0.68135,                0.36451,                 1.7981,                  1.425,                 1.7697,             0.00060262,             0.00060262,             0.00060262
                     42,                 1.1047,                 0.7819,                  1.213,                0.72442,                0.68348,                0.70153,                0.37119,                 1.7955,                 1.4005,                 1.7744,             0.00060097,             0.00060097,             0.00060097
                     43,                 1.0806,                0.79689,                 1.2006,                0.61033,                0.66679,                 0.6496,                0.35777,                 1.8109,                 1.4311,                 1.8112,             0.00059932,             0.00059932,             0.00059932
                     44,                 1.1047,                 0.7804,                  1.211,                0.69056,                0.63658,                0.66367,                0.35129,                 1.7749,                 1.5409,                 1.7476,             0.00059767,             0.00059767,             0.00059767
                     45,                 1.1138,                0.79562,                  1.213,                0.69368,                 0.6212,                0.66865,                0.35392,                 1.8382,                 1.4128,                 1.7602,             0.00059601,             0.00059601,             0.00059601
