               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040289,            0.038659,           0.0073966,             0.63975,             0.59089,             0.61739,             0.29452,            0.046882,            0.027629,            0.015078,            0.008812,            0.008812,            0.008812
                  38,            0.040437,            0.039266,           0.0074883,             0.61713,             0.64485,             0.62208,             0.30263,            0.045019,            0.026819,            0.019059,            0.008779,            0.008779,            0.008779
                  39,            0.040396,            0.038097,           0.0066382,             0.62742,             0.61098,             0.63497,             0.31068,               0.045,            0.025752,            0.018431,            0.008746,            0.008746,            0.008746
                  40,            0.040617,            0.037269,           0.0077508,             0.57945,             0.59288,             0.59319,              0.2898,             0.04643,            0.027475,            0.025883,            0.008713,            0.008713,            0.008713
                  41,            0.040307,            0.039625,            0.007042,             0.62374,             0.67041,             0.64569,             0.31472,            0.044805,            0.026092,            0.012492,             0.00868,             0.00868,             0.00868
                  42,            0.039403,            0.037305,             0.00835,             0.64598,             0.62172,             0.64468,             0.29321,            0.045425,              0.0265,            0.015655,            0.008647,            0.008647,            0.008647
                  43,            0.039582,            0.036685,           0.0080445,             0.62994,              0.6025,             0.62961,              0.3137,            0.045792,            0.027553,            0.017967,            0.008614,            0.008614,            0.008614
                  44,            0.039574,            0.037562,            0.007647,             0.61278,             0.61452,             0.62748,             0.30163,            0.045818,            0.026365,            0.014321,            0.008581,            0.008581,            0.008581
                  45,            0.039441,            0.037957,           0.0068244,             0.69437,             0.55986,             0.61956,             0.29453,            0.046474,             0.02805,            0.015866,            0.008548,            0.008548,            0.008548
                  46,            0.039346,            0.036717,           0.0072804,             0.59654,             0.57202,             0.58417,             0.27552,            0.047287,            0.027583,            0.034745,            0.008515,            0.008515,            0.008515
                  47,            0.038936,            0.038385,           0.0077968,             0.65507,              0.5964,             0.61355,             0.29707,            0.045421,            0.026939,            0.015915,            0.008482,            0.008482,            0.008482
                  48,            0.038849,            0.037525,           0.0065089,             0.68308,             0.60712,             0.66023,             0.32397,            0.044274,            0.026764,            0.011982,            0.008449,            0.008449,            0.008449
